Timestamp,Target ID,Target Class,Threat Level,Confidence (%),Lock Status,Bounding Box
17:50:34.734,HDF-???,FIGHTER PLANE,YUKSEK,68,YES,"(418, 142, 633, 225)"
17:50:34.959,HDF-???,FIGHTER JET,YUKSEK,81,NO,"(576, 167, 636, 221)"
17:50:34.959,HDF-???,HELICOPTER,YUKSEK,41,YES,"(409, 138, 634, 220)"
17:50:35.079,HDF-???,FIGHTER JET,YUKSEK,81,NO,"(576, 167, 636, 221)"
17:50:35.079,HDF-???,HELICOPTER,YUKSEK,41,YES,"(409, 138, 634, 220)"
17:50:35.197,HDF-???,FIGHTER JET,YUKSEK,33,YES,"(395, 159, 454, 212)"
17:50:35.300,HDF-???,HELICOPTER,YUKSEK,77,YES,"(387, 107, 635, 211)"
17:50:35.300,HDF-???,DRONE,YUKSEK,58,YES,"(386, 108, 634, 210)"
17:50:35.519,HDF-???,FIGHTER JET,YUKSEK,63,YES,"(406, 159, 469, 215)"
17:50:35.519,HDF-???,HELICOPTER,YUKSEK,59,YES,"(408, 115, 640, 218)"
17:50:35.735,HDF-???,HELICOPTER,YUKSEK,78,YES,"(403, 117, 638, 218)"
17:50:35.735,HDF-???,FIGHTER JET,YUKSEK,37,NO,"(581, 164, 639, 221)"
17:50:35.840,HDF-???,HELICOPTER,YUKSEK,55,YES,"(399, 120, 637, 219)"
17:50:35.951,HDF-???,HELICOPTER,YUKSEK,75,YES,"(400, 118, 639, 222)"
17:50:36.061,HDF-???,HELICOPTER,YUKSEK,75,YES,"(400, 118, 639, 222)"
17:50:36.172,HDF-???,HELICOPTER,YUKSEK,79,YES,"(400, 119, 637, 222)"
17:50:36.172,HDF-???,FIGHTER JET,YUKSEK,52,NO,"(578, 165, 639, 226)"
17:50:36.280,HDF-004,HELICOPTER,YUKSEK,74,YES,"(399, 121, 638, 224)"
17:50:36.383,HDF-004,HELICOPTER,YUKSEK,79,YES,"(400, 121, 638, 224)"
17:50:36.497,HDF-004,HELICOPTER,YUKSEK,64,YES,"(397, 121, 637, 223)"
17:50:36.606,HDF-004,HELICOPTER,YUKSEK,43,YES,"(398, 121, 636, 224)"
17:50:36.712,HDF-004,HELICOPTER,YUKSEK,31,YES,"(397, 122, 635, 226)"
17:50:36.819,HDF-004,HELICOPTER,YUKSEK,85,YES,"(390, 123, 634, 224)"
17:50:36.930,HDF-004,HELICOPTER,YUKSEK,85,YES,"(389, 123, 634, 224)"
17:50:37.046,HDF-???,FIGHTER JET,YUKSEK,81,NO,"(567, 167, 637, 226)"
17:50:37.166,HDF-???,FIGHTER JET,YUKSEK,72,NO,"(565, 168, 637, 227)"
17:50:37.273,HDF-???,FIGHTER JET,YUKSEK,67,NO,"(564, 172, 630, 229)"
17:50:37.380,HDF-004,HELICOPTER,YUKSEK,30,YES,"(380, 130, 623, 235)"
17:50:37.499,HDF-004,HELICOPTER,YUKSEK,26,YES,"(376, 133, 617, 234)"
17:50:37.622,HDF-004,HELICOPTER,YUKSEK,28,YES,"(374, 135, 615, 234)"
17:50:37.866,HDF-004,HELICOPTER,YUKSEK,60,YES,"(377, 135, 619, 237)"
17:50:37.999,HDF-004,HELICOPTER,YUKSEK,27,YES,"(378, 135, 621, 237)"
17:50:38.793,HDF-004,HELICOPTER,YUKSEK,76,YES,"(376, 140, 620, 238)"
17:50:38.927,HDF-004,HELICOPTER,YUKSEK,34,YES,"(371, 139, 617, 238)"
17:50:39.048,HDF-004,FIGHTER PLANE,YUKSEK,30,YES,"(360, 138, 600, 233)"
17:50:39.175,HDF-???,TRUCK,ORTA,34,NO,"(182, 399, 607, 480)"
17:50:39.301,HDF-004,HELICOPTER,YUKSEK,74,YES,"(317, 143, 566, 228)"
17:50:39.532,HDF-004,FIGHTER PLANE,YUKSEK,62,YES,"(270, 134, 516, 218)"
17:50:39.659,HDF-004,HELICOPTER,YUKSEK,62,YES,"(251, 121, 491, 217)"
17:50:39.773,HDF-???,FIGHTER JET,YUKSEK,77,YES,"(422, 146, 483, 202)"
17:50:39.883,HDF-004,FIGHTER PLANE,YUKSEK,57,YES,"(258, 89, 485, 187)"
17:50:40.038,HDF-004,HELICOPTER,YUKSEK,74,YES,"(254, 69, 491, 175)"
17:50:40.142,HDF-004,HELICOPTER,YUKSEK,80,YES,"(249, 53, 487, 160)"
17:50:40.266,HDF-004,DRONE,YUKSEK,40,YES,"(256, 31, 498, 139)"
17:50:40.384,HDF-004,HELICOPTER,YUKSEK,34,YES,"(262, 30, 503, 137)"
17:50:40.509,HDF-004,HELICOPTER,YUKSEK,68,YES,"(265, 35, 501, 143)"
17:50:40.740,HDF-004,HELICOPTER,YUKSEK,26,YES,"(268, 70, 494, 180)"
17:50:41.399,HDF-004,HELICOPTER,YUKSEK,70,YES,"(389, 351, 591, 444)"
17:50:41.763,HDF-004,HELICOPTER,YUKSEK,75,YES,"(386, 334, 575, 423)"
17:50:41.885,HDF-004,HELICOPTER,YUKSEK,70,YES,"(387, 336, 574, 425)"
17:50:42.047,HDF-004,HELICOPTER,YUKSEK,63,YES,"(391, 333, 580, 423)"
17:50:42.164,HDF-004,HELICOPTER,YUKSEK,51,YES,"(390, 334, 563, 419)"
17:50:42.418,HDF-???,HELICOPTER,YUKSEK,80,YES,"(394, 332, 510, 396)"
17:50:46.806,HDF-???,HELICOPTER,YUKSEK,44,YES,"(236, 221, 386, 297)"
17:50:47.031,HDF-???,HELICOPTER,YUKSEK,66,YES,"(234, 222, 411, 299)"
17:50:47.917,HDF-???,HELICOPTER,YUKSEK,44,YES,"(226, 229, 368, 302)"
17:50:48.015,HDF-???,HELICOPTER,YUKSEK,66,YES,"(232, 231, 417, 319)"
17:50:48.129,HDF-???,HELICOPTER,YUKSEK,32,YES,"(236, 233, 421, 317)"
17:50:48.235,HDF-???,HELICOPTER,YUKSEK,77,YES,"(236, 232, 422, 320)"
17:50:48.348,HDF-???,HELICOPTER,YUKSEK,71,YES,"(238, 233, 423, 320)"
17:50:48.460,HDF-???,HELICOPTER,YUKSEK,44,YES,"(238, 230, 416, 309)"
17:50:48.785,HDF-???,HELICOPTER,YUKSEK,31,YES,"(237, 228, 367, 303)"
17:50:49.981,HDF-???,HELICOPTER,YUKSEK,27,YES,"(232, 228, 418, 306)"
17:50:50.090,HDF-???,HELICOPTER,YUKSEK,42,YES,"(232, 228, 387, 305)"
17:50:50.305,HDF-???,HELICOPTER,YUKSEK,55,YES,"(231, 230, 356, 308)"
17:50:50.414,HDF-???,HELICOPTER,YUKSEK,33,YES,"(231, 232, 356, 305)"
17:50:50.523,HDF-???,HELICOPTER,YUKSEK,75,YES,"(231, 232, 350, 304)"
17:50:50.633,HDF-???,HELICOPTER,YUKSEK,74,YES,"(230, 234, 413, 309)"
17:50:50.757,HDF-???,HELICOPTER,YUKSEK,65,YES,"(231, 234, 384, 307)"
17:50:50.863,HDF-010,HELICOPTER,YUKSEK,77,YES,"(230, 234, 406, 313)"
17:50:50.976,HDF-010,HELICOPTER,YUKSEK,78,YES,"(228, 234, 414, 312)"
17:50:51.090,HDF-010,HELICOPTER,YUKSEK,69,YES,"(230, 234, 415, 313)"
17:50:51.203,HDF-010,HELICOPTER,YUKSEK,66,YES,"(230, 234, 417, 320)"
17:50:51.311,HDF-010,HELICOPTER,YUKSEK,67,YES,"(230, 235, 416, 322)"
17:50:51.425,HDF-010,HELICOPTER,YUKSEK,67,YES,"(230, 235, 416, 322)"
17:50:51.532,HDF-010,HELICOPTER,YUKSEK,69,YES,"(230, 233, 418, 322)"
17:50:51.643,HDF-???,HELICOPTER,YUKSEK,28,YES,"(231, 231, 352, 304)"
17:50:51.750,HDF-???,HELICOPTER,YUKSEK,44,YES,"(230, 231, 351, 303)"
17:50:51.857,HDF-010,HELICOPTER,YUKSEK,80,YES,"(232, 230, 353, 304)"
17:50:51.966,HDF-010,HELICOPTER,YUKSEK,66,YES,"(232, 232, 350, 303)"
17:50:52.078,HDF-010,HELICOPTER,YUKSEK,39,YES,"(232, 230, 350, 304)"
17:50:52.187,HDF-010,HELICOPTER,YUKSEK,57,YES,"(233, 229, 359, 302)"
17:50:52.292,HDF-010,HELICOPTER,YUKSEK,54,YES,"(231, 228, 359, 302)"
17:50:52.724,HDF-010,HELICOPTER,YUKSEK,65,YES,"(231, 229, 350, 304)"
17:50:52.836,HDF-010,HELICOPTER,YUKSEK,65,YES,"(229, 232, 369, 306)"
17:50:52.946,HDF-010,HELICOPTER,YUKSEK,27,YES,"(230, 233, 366, 307)"
17:50:53.065,HDF-010,HELICOPTER,YUKSEK,79,YES,"(230, 233, 384, 308)"
17:50:53.177,HDF-010,HELICOPTER,YUKSEK,70,YES,"(230, 234, 402, 310)"
17:50:53.284,HDF-010,HELICOPTER,YUKSEK,66,YES,"(230, 234, 408, 311)"
17:50:53.393,HDF-010,HELICOPTER,YUKSEK,26,YES,"(231, 233, 415, 316)"
17:50:53.753,HDF-010,HELICOPTER,YUKSEK,26,YES,"(236, 233, 426, 324)"
17:50:53.870,HDF-010,HELICOPTER,YUKSEK,54,YES,"(237, 231, 407, 317)"
17:50:53.994,HDF-010,HELICOPTER,YUKSEK,70,YES,"(238, 229, 394, 311)"
17:50:54.118,HDF-010,HELICOPTER,YUKSEK,64,YES,"(241, 228, 393, 308)"
17:50:55.550,HDF-???,FIGHTER JET,YUKSEK,44,YES,"(440, 234, 488, 283)"
17:51:05.207,HDF-???,BUS,ORTA,75,NO,"(347, 0, 639, 480)"
17:51:05.448,HDF-???,FIGHTER JET,YUKSEK,37,YES,"(382, 49, 580, 116)"
