Timestamp,Target ID,Target Class,Threat Level,Confidence (%),Lock Status,Bounding Box
14:42:02.903,HDF-???,BUS,ORTA,58,NO,"(217, 84, 639, 442)"
14:42:02.954,HDF-???,BUS,ORTA,32,NO,"(211, 80, 639, 442)"
14:42:03.066,HDF-???,BUS,ORTA,62,NO,"(211, 76, 639, 447)"
14:42:03.117,HDF-???,BUS,ORTA,27,NO,"(201, 74, 639, 449)"
14:42:03.219,HDF-???,BUS,ORTA,36,NO,"(207, 72, 639, 449)"
14:42:03.264,HDF-???,BUS,ORTA,70,NO,"(211, 64, 639, 452)"
14:42:03.312,HDF-???,BUS,ORTA,63,NO,"(202, 63, 639, 447)"
14:42:03.357,HDF-005,BUS,ORTA,63,NO,"(210, 63, 640, 451)"
14:42:03.408,HDF-005,BUS,ORTA,46,NO,"(209, 65, 640, 451)"
14:42:03.476,HDF-005,BUS,ORTA,53,NO,"(211, 67, 640, 452)"
14:42:03.535,HDF-005,BUS,ORTA,48,NO,"(211, 69, 639, 451)"
14:42:03.620,HDF-005,BUS,ORTA,45,NO,"(231, 69, 639, 451)"
14:42:03.764,HDF-005,BUS,ORTA,28,NO,"(388, 69, 640, 452)"
14:42:03.892,HDF-???,BUS,ORTA,30,NO,"(216, 66, 640, 453)"
14:42:03.950,HDF-???,BUS,ORTA,32,NO,"(215, 65, 639, 459)"
14:42:03.999,HDF-???,BUS,ORTA,31,NO,"(214, 62, 639, 461)"
14:42:04.164,HDF-???,BUS,ORTA,48,NO,"(206, 60, 638, 469)"
14:42:04.209,HDF-???,BUS,ORTA,32,NO,"(205, 52, 624, 475)"
14:42:04.256,HDF-???,BUS,ORTA,49,NO,"(209, 50, 634, 476)"
14:42:04.302,HDF-???,BUS,ORTA,57,NO,"(209, 47, 628, 478)"
14:42:04.302,HDF-???,DRONE,YUKSEK,47,YES,"(361, 149, 515, 242)"
14:42:04.352,HDF-???,BUS,ORTA,70,NO,"(203, 47, 600, 478)"
14:42:04.419,HDF-???,BUS,ORTA,58,NO,"(200, 45, 635, 480)"
14:42:04.478,HDF-???,DRONE,YUKSEK,33,YES,"(367, 147, 531, 248)"
14:42:04.674,HDF-???,DRONE,YUKSEK,53,YES,"(363, 153, 541, 265)"
14:42:04.720,HDF-???,DRONE,YUKSEK,69,YES,"(365, 151, 545, 270)"
14:42:04.770,HDF-???,DRONE,YUKSEK,48,YES,"(363, 153, 545, 274)"
14:42:04.865,HDF-???,DRONE,YUKSEK,57,YES,"(369, 162, 547, 274)"
14:42:04.865,HDF-???,DRONE,YUKSEK,37,YES,"(370, 173, 543, 248)"
14:42:04.920,HDF-???,DRONE,YUKSEK,39,YES,"(368, 159, 550, 271)"
14:42:04.972,HDF-???,DRONE,YUKSEK,42,YES,"(367, 146, 548, 270)"
14:42:05.021,HDF-???,DRONE,YUKSEK,33,YES,"(367, 154, 564, 267)"
14:42:05.067,HDF-???,DRONE,YUKSEK,56,YES,"(365, 155, 551, 265)"
14:42:05.118,HDF-???,DRONE,YUKSEK,50,YES,"(369, 151, 544, 264)"
14:42:05.177,HDF-???,DRONE,YUKSEK,69,YES,"(367, 152, 550, 264)"
14:42:05.219,HDF-???,DRONE,YUKSEK,50,YES,"(362, 139, 536, 268)"
14:42:05.266,HDF-???,DRONE,YUKSEK,61,YES,"(360, 153, 539, 268)"
14:42:05.324,HDF-???,DRONE,YUKSEK,61,YES,"(360, 153, 539, 268)"
14:42:05.398,HDF-???,DRONE,YUKSEK,68,YES,"(363, 145, 532, 262)"
14:42:05.469,HDF-???,DRONE,YUKSEK,70,YES,"(364, 145, 536, 263)"
14:42:05.523,HDF-???,DRONE,YUKSEK,70,YES,"(363, 151, 533, 264)"
14:42:05.605,HDF-007,DRONE,YUKSEK,68,YES,"(363, 154, 532, 263)"
14:42:05.666,HDF-007,DRONE,YUKSEK,77,YES,"(362, 143, 534, 263)"
14:42:05.729,HDF-007,DRONE,YUKSEK,77,YES,"(362, 141, 534, 263)"
14:42:05.794,HDF-007,DRONE,YUKSEK,74,YES,"(365, 145, 536, 263)"
14:42:05.849,HDF-007,DRONE,YUKSEK,83,YES,"(364, 141, 535, 265)"
14:42:05.914,HDF-007,DRONE,YUKSEK,73,YES,"(363, 143, 536, 265)"
14:42:05.974,HDF-007,DRONE,YUKSEK,82,YES,"(363, 140, 536, 265)"
14:42:06.032,HDF-007,DRONE,YUKSEK,82,YES,"(363, 140, 535, 265)"
14:42:06.079,HDF-007,DRONE,YUKSEK,59,YES,"(365, 144, 537, 262)"
14:42:06.130,HDF-007,DRONE,YUKSEK,57,YES,"(366, 147, 538, 261)"
