Timestamp,Target ID,Target Class,Threat Level,Confidence (%),Lock Status,Bounding Box
20:12:55.241,HDF-???,TRUCK,ORTA,65,NO,"(460, 58, 639, 395)"
20:12:55.685,HDF-???,BUS,ORTA,49,NO,"(499, 63, 639, 363)"
20:13:36.935,HDF-???,FIGHTER JET,YUKSEK,59,YES,"(328, 219, 397, 250)"
20:13:37.050,HDF-???,FIGHTER JET,YUKSEK,80,YES,"(330, 224, 410, 261)"
20:13:37.172,HDF-???,FIGHTER JET,YUKSEK,82,YES,"(323, 218, 403, 256)"
20:13:37.285,HDF-???,FIGHTER JET,YUKSEK,82,YES,"(323, 218, 403, 256)"
20:13:37.390,HDF-001,FIGHTER JET,YUKSEK,68,YES,"(323, 216, 402, 254)"
20:13:37.616,HDF-001,FIGHTER JET,YUKSEK,59,YES,"(325, 217, 402, 251)"
20:13:37.756,HDF-001,FIGHTER JET,YUKSEK,48,YES,"(326, 217, 400, 248)"
20:13:45.171,HDF-???,FIGHTER JET,YUKSEK,84,YES,"(203, 314, 285, 362)"
20:13:45.278,HDF-???,FIGHTER JET,YUKSEK,81,YES,"(206, 312, 284, 357)"
20:13:45.388,HDF-???,FIGHTER JET,YUKSEK,63,YES,"(203, 309, 286, 356)"
20:13:45.493,HDF-002,FIGHTER JET,YUKSEK,84,YES,"(203, 309, 284, 356)"
20:13:45.605,HDF-002,FIGHTER JET,YUKSEK,72,YES,"(201, 313, 284, 361)"
20:13:45.713,HDF-002,FIGHTER JET,YUKSEK,77,YES,"(198, 316, 282, 366)"
20:13:45.818,HDF-002,FIGHTER JET,YUKSEK,77,YES,"(198, 316, 282, 366)"
20:13:46.359,HDF-002,FIGHTER JET,YUKSEK,87,YES,"(180, 363, 269, 418)"
20:13:46.476,HDF-002,FIGHTER JET,YUKSEK,89,YES,"(177, 364, 267, 420)"
20:13:46.585,HDF-002,FIGHTER JET,YUKSEK,84,YES,"(173, 367, 262, 423)"
20:13:46.695,HDF-002,FIGHTER JET,YUKSEK,84,YES,"(173, 367, 262, 423)"
20:13:46.943,HDF-002,FIGHTER JET,YUKSEK,85,NO,"(170, 393, 261, 449)"
20:13:47.064,HDF-002,FIGHTER JET,YUKSEK,86,NO,"(165, 400, 258, 455)"
20:13:47.172,HDF-002,FIGHTER JET,YUKSEK,82,NO,"(159, 406, 258, 467)"
20:13:47.279,HDF-002,FIGHTER JET,YUKSEK,80,NO,"(150, 407, 251, 463)"
20:13:47.390,HDF-002,FIGHTER JET,YUKSEK,83,NO,"(139, 405, 238, 454)"
20:13:47.498,HDF-002,FIGHTER JET,YUKSEK,84,NO,"(132, 398, 233, 447)"
20:13:47.604,HDF-002,FIGHTER JET,YUKSEK,86,NO,"(131, 395, 232, 446)"
