Timestamp,Target ID,Target Class,Threat Level,Confidence (%),Lock Status,Bounding Box
19:23:55.752,HDF-???,DRONE,YUKSEK,35,YES,"(341, 96, 483, 171)"
19:23:55.843,HDF-???,DRONE,YUKSEK,74,YES,"(344, 98, 483, 168)"
19:23:55.937,HDF-???,DRONE,YUKSEK,78,YES,"(340, 108, 484, 172)"
19:23:56.029,HDF-???,DRONE,YUKSEK,61,YES,"(345, 111, 481, 164)"
19:23:56.125,HDF-???,DRONE,YUKSEK,57,YES,"(345, 112, 481, 163)"
19:23:56.213,HDF-???,DRONE,YUKSEK,54,YES,"(344, 112, 483, 164)"
19:23:56.309,HDF-???,DRONE,YUKSEK,49,YES,"(343, 110, 482, 166)"
19:23:56.402,HDF-???,DRONE,YUKSEK,50,YES,"(337, 105, 478, 170)"
19:23:56.497,HDF-???,DRONE,YUKSEK,64,YES,"(341, 104, 478, 165)"
19:23:56.588,HDF-???,DRONE,YUKSEK,66,YES,"(342, 98, 479, 163)"
19:23:56.588,HDF-???,DRONE,YUKSEK,32,YES,"(349, 115, 478, 160)"
19:23:56.962,HDF-???,DRONE,YUKSEK,78,YES,"(332, 104, 473, 174)"
19:23:57.057,HDF-???,DRONE,YUKSEK,77,YES,"(334, 103, 474, 173)"
19:23:57.154,HDF-???,DRONE,YUKSEK,73,YES,"(336, 114, 471, 169)"
19:23:57.249,HDF-???,DRONE,YUKSEK,53,YES,"(339, 114, 470, 168)"
19:23:57.337,HDF-???,DRONE,YUKSEK,60,YES,"(336, 111, 470, 171)"
19:23:57.434,HDF-???,DRONE,YUKSEK,67,YES,"(337, 110, 473, 169)"
19:23:57.523,HDF-???,DRONE,YUKSEK,62,YES,"(337, 111, 473, 171)"
19:23:57.614,HDF-???,DRONE,YUKSEK,60,YES,"(336, 110, 471, 171)"
19:23:57.693,HDF-???,DRONE,YUKSEK,58,YES,"(337, 110, 471, 169)"
19:23:57.786,HDF-???,DRONE,YUKSEK,68,YES,"(336, 110, 472, 171)"
19:23:57.786,HDF-???,DRONE,YUKSEK,51,YES,"(351, 122, 469, 169)"
19:23:57.884,HDF-???,DRONE,YUKSEK,69,YES,"(338, 109, 472, 168)"
19:23:58.072,HDF-???,DRONE,YUKSEK,54,YES,"(332, 109, 471, 174)"
19:23:58.167,HDF-???,DRONE,YUKSEK,48,YES,"(336, 115, 470, 166)"
19:23:58.255,HDF-???,DRONE,YUKSEK,75,YES,"(335, 114, 471, 167)"
19:23:58.536,HDF-???,DRONE,YUKSEK,52,YES,"(334, 109, 472, 170)"
19:23:58.626,HDF-???,DRONE,YUKSEK,63,YES,"(337, 109, 471, 168)"
19:23:59.097,HDF-???,DRONE,YUKSEK,64,YES,"(339, 105, 473, 166)"
19:23:59.285,HDF-???,DRONE,YUKSEK,36,YES,"(333, 114, 466, 172)"
19:23:59.565,HDF-???,DRONE,YUKSEK,37,YES,"(328, 139, 471, 210)"
19:24:06.004,HDF-???,BUS,ORTA,44,NO,"(318, 57, 493, 352)"
19:24:06.098,HDF-???,BUS,ORTA,44,NO,"(321, 59, 496, 354)"
19:24:06.193,HDF-???,BUS,ORTA,75,NO,"(321, 61, 492, 346)"
19:24:06.282,HDF-???,BUS,ORTA,86,NO,"(323, 61, 492, 342)"
19:24:06.377,HDF-???,BUS,ORTA,88,NO,"(328, 63, 487, 338)"
19:24:06.469,HDF-004,BUS,ORTA,89,NO,"(329, 67, 491, 336)"
19:24:06.557,HDF-004,BUS,ORTA,87,NO,"(332, 67, 489, 335)"
19:24:06.648,HDF-004,BUS,ORTA,87,NO,"(334, 69, 488, 337)"
19:24:06.746,HDF-004,BUS,ORTA,85,NO,"(331, 70, 489, 337)"
19:24:06.835,HDF-004,BUS,ORTA,87,NO,"(329, 71, 491, 336)"
19:24:06.932,HDF-004,BUS,ORTA,81,NO,"(332, 71, 489, 338)"
19:24:07.024,HDF-004,BUS,ORTA,73,NO,"(332, 73, 489, 340)"
19:24:07.121,HDF-004,BUS,ORTA,78,NO,"(331, 73, 489, 340)"
19:24:07.216,HDF-004,BUS,ORTA,86,NO,"(329, 73, 492, 340)"
19:24:07.307,HDF-004,BUS,ORTA,81,NO,"(332, 72, 491, 340)"
19:24:07.404,HDF-004,BUS,ORTA,62,NO,"(332, 71, 491, 340)"
19:24:07.498,HDF-004,BUS,ORTA,51,NO,"(330, 64, 494, 338)"
19:24:07.586,HDF-004,BUS,ORTA,48,NO,"(325, 53, 509, 333)"
19:24:07.679,HDF-004,BUS,ORTA,37,NO,"(321, 47, 514, 332)"
19:24:07.779,HDF-004,BUS,ORTA,60,NO,"(306, 36, 532, 333)"
19:24:07.868,HDF-004,BUS,ORTA,35,NO,"(301, 29, 535, 335)"
19:24:08.697,HDF-004,BUS,ORTA,48,NO,"(302, 26, 533, 336)"
19:24:08.791,HDF-004,BUS,ORTA,33,NO,"(300, 28, 533, 338)"
19:24:08.879,HDF-004,BUS,ORTA,36,NO,"(299, 30, 535, 337)"
19:24:09.165,HDF-004,BUS,ORTA,61,NO,"(303, 36, 534, 341)"
