Timestamp,Target Class,Threat Level,Confidence (%),Bounding Box
19:29:43.180,PERSON,ORTA,85,"(343, 91, 937, 714)"
19:29:43.366,PERSON,ORTA,87,"(346, 247, 936, 714)"
19:29:43.425,PERSON,ORTA,87,"(346, 247, 936, 714)"
19:29:43.485,PERSON,ORTA,87,"(344, 247, 936, 713)"
19:29:43.544,PERSON,ORTA,91,"(347, 258, 936, 715)"
19:29:43.605,PERSON,ORTA,92,"(346, 259, 936, 714)"
19:29:43.662,PERSON,ORTA,88,"(346, 251, 936, 714)"
19:29:43.717,PERSON,ORTA,84,"(346, 236, 938, 714)"
19:29:43.774,PERSON,ORTA,84,"(347, 241, 937, 714)"
19:29:43.833,PERSON,ORTA,90,"(347, 252, 933, 714)"
19:29:43.891,PERSON,ORTA,91,"(346, 256, 937, 714)"
19:29:43.949,PERSON,ORTA,87,"(346, 248, 936, 714)"
19:29:44.009,PERSON,ORTA,91,"(345, 258, 940, 715)"
19:29:44.069,PERSON,ORTA,86,"(343, 237, 937, 712)"
19:29:44.125,PERSON,ORTA,86,"(343, 237, 937, 712)"
19:29:44.183,PERSON,ORTA,86,"(346, 182, 938, 713)"
19:29:44.240,PERSON,ORTA,92,"(348, 256, 939, 714)"
19:29:44.300,PERSON,ORTA,86,"(348, 236, 935, 714)"
19:29:44.355,PERSON,ORTA,85,"(346, 243, 936, 714)"
19:29:44.412,PERSON,ORTA,90,"(346, 255, 938, 714)"
19:29:44.467,PERSON,ORTA,88,"(346, 253, 934, 712)"
19:29:44.523,PERSON,ORTA,91,"(346, 255, 939, 714)"
19:29:44.582,PERSON,ORTA,90,"(347, 258, 939, 715)"
19:29:44.674,PERSON,ORTA,90,"(347, 258, 939, 715)"
19:29:44.732,PERSON,ORTA,83,"(347, 246, 943, 713)"
19:29:44.793,PERSON,ORTA,92,"(347, 255, 935, 714)"
19:29:44.852,PERSON,ORTA,92,"(347, 255, 935, 714)"
19:29:44.915,PERSON,ORTA,87,"(345, 235, 937, 713)"
19:29:44.977,PERSON,ORTA,85,"(346, 170, 936, 713)"
19:29:45.042,PERSON,ORTA,85,"(346, 170, 936, 713)"
19:29:45.097,PERSON,ORTA,88,"(346, 89, 940, 712)"
19:29:45.148,PERSON,ORTA,88,"(345, 129, 940, 712)"
19:29:45.209,PERSON,ORTA,88,"(345, 129, 940, 712)"
19:29:45.262,PERSON,ORTA,88,"(345, 94, 947, 712)"
19:29:45.341,PERSON,ORTA,87,"(341, 80, 945, 712)"
19:29:45.397,PERSON,ORTA,85,"(319, 101, 959, 713)"
19:29:45.454,PERSON,ORTA,82,"(242, 93, 959, 713)"
19:29:45.510,PERSON,ORTA,85,"(140, 121, 965, 713)"
19:29:45.564,PERSON,ORTA,56,"(22, 78, 1161, 714)"
19:29:45.630,CAT,ASAGI,42,"(45, 195, 1077, 711)"
19:29:45.688,PERSON,ORTA,75,"(51, 271, 1178, 715)"
19:29:45.743,PERSON,ORTA,75,"(51, 271, 1178, 715)"
19:29:45.798,PERSON,ORTA,82,"(39, 216, 1258, 714)"
19:29:45.965,PERSON,ORTA,83,"(60, 62, 1237, 716)"
19:29:46.020,PERSON,ORTA,75,"(68, 61, 1230, 716)"
19:29:46.079,PERSON,ORTA,60,"(75, 73, 1205, 714)"
19:29:46.079,PERSON,ORTA,53,"(392, 98, 1214, 713)"
19:29:46.134,PERSON,ORTA,58,"(89, 68, 1206, 713)"
19:29:46.134,PERSON,ORTA,50,"(390, 102, 1209, 712)"
19:29:46.134,PERSON,ORTA,45,"(88, 98, 889, 713)"
19:29:46.192,PERSON,ORTA,69,"(75, 64, 1170, 715)"
19:29:46.245,PERSON,ORTA,69,"(75, 64, 1170, 715)"
19:29:46.299,PERSON,ORTA,70,"(80, 69, 1182, 715)"
19:29:46.299,PERSON,ORTA,40,"(395, 78, 1201, 713)"
19:29:46.355,PERSON,ORTA,70,"(88, 61, 1187, 715)"
19:29:46.407,PERSON,ORTA,70,"(88, 61, 1187, 715)"
19:29:46.463,PERSON,ORTA,52,"(82, 50, 920, 714)"
19:29:46.520,PERSON,ORTA,80,"(91, 71, 1169, 715)"
19:29:46.573,PERSON,ORTA,51,"(94, 42, 889, 713)"
19:29:46.573,PERSON,ORTA,40,"(120, 162, 1156, 714)"
19:29:46.630,PERSON,ORTA,71,"(97, 102, 1161, 716)"
19:29:46.683,PERSON,ORTA,60,"(104, 235, 1192, 716)"
19:29:46.740,PERSON,ORTA,60,"(104, 235, 1192, 716)"
19:29:46.797,PERSON,ORTA,54,"(107, 197, 1169, 715)"
19:29:46.854,PERSON,ORTA,45,"(85, 38, 1139, 714)"
19:29:46.908,PERSON,ORTA,67,"(46, 84, 1216, 715)"
19:29:46.965,PERSON,ORTA,43,"(41, 40, 912, 714)"
19:29:47.021,PERSON,ORTA,46,"(54, 175, 1247, 716)"
19:29:47.131,PERSON,ORTA,54,"(751, 6, 1279, 712)"
19:29:47.131,PERSON,ORTA,42,"(77, 177, 1272, 714)"
19:29:47.131,PERSON,ORTA,41,"(38, 40, 837, 714)"
19:29:47.186,PERSON,ORTA,49,"(45, 35, 878, 713)"
19:29:47.241,PERSON,ORTA,49,"(45, 35, 878, 713)"
19:29:47.297,PERSON,ORTA,52,"(748, 4, 1279, 711)"
19:29:47.354,PERSON,ORTA,61,"(14, 84, 1254, 716)"
19:29:47.409,PERSON,ORTA,40,"(752, 48, 1279, 711)"
19:29:47.464,PERSON,ORTA,49,"(752, 122, 1279, 711)"
19:29:47.464,PERSON,ORTA,46,"(53, 255, 1278, 714)"
19:29:47.578,PERSON,ORTA,40,"(49, 257, 1279, 713)"
19:29:47.636,PERSON,ORTA,49,"(3, 37, 912, 715)"
19:29:47.636,PERSON,ORTA,40,"(302, 180, 1280, 714)"
19:29:47.694,PERSON,ORTA,51,"(59, 173, 1280, 714)"
19:29:47.753,PERSON,ORTA,51,"(59, 173, 1280, 714)"
19:29:47.807,PERSON,ORTA,45,"(37, 188, 1279, 714)"
19:29:47.807,PERSON,ORTA,41,"(2, 35, 843, 715)"
19:29:47.864,PERSON,ORTA,50,"(0, 243, 1136, 715)"
19:29:47.920,PERSON,ORTA,50,"(0, 243, 1136, 715)"
19:29:48.201,PERSON,ORTA,66,"(3, 146, 1265, 716)"
19:29:48.255,PERSON,ORTA,68,"(51, 200, 1280, 714)"
19:29:48.310,PERSON,ORTA,65,"(38, 212, 1279, 713)"
19:29:48.363,PERSON,ORTA,53,"(2, 255, 834, 714)"
19:29:48.363,PERSON,ORTA,48,"(51, 248, 1279, 715)"
19:29:48.419,PERSON,ORTA,53,"(2, 255, 834, 714)"
19:29:48.419,PERSON,ORTA,48,"(51, 248, 1279, 715)"
19:29:48.474,PERSON,ORTA,53,"(177, 265, 1029, 714)"
19:29:48.531,PERSON,ORTA,63,"(193, 244, 978, 715)"
19:29:48.585,PERSON,ORTA,82,"(311, 259, 933, 714)"
19:29:48.642,PERSON,ORTA,79,"(336, 96, 920, 713)"
19:29:48.695,PERSON,ORTA,87,"(350, 96, 906, 713)"
19:29:48.748,PERSON,ORTA,83,"(357, 86, 896, 713)"
19:29:48.806,PERSON,ORTA,80,"(363, 246, 887, 714)"
19:29:48.859,PERSON,ORTA,81,"(363, 221, 888, 714)"
19:29:48.914,PERSON,ORTA,81,"(363, 221, 888, 714)"
19:29:48.970,PERSON,ORTA,80,"(364, 186, 889, 713)"
19:29:49.028,PERSON,ORTA,77,"(361, 234, 892, 714)"
19:29:49.082,PERSON,ORTA,84,"(356, 265, 892, 714)"
19:29:49.138,PERSON,ORTA,75,"(359, 101, 891, 714)"
19:29:49.196,PERSON,ORTA,80,"(358, 259, 893, 714)"
19:29:49.252,PERSON,ORTA,80,"(358, 259, 893, 714)"
19:29:49.305,PERSON,ORTA,76,"(349, 133, 887, 713)"
