Timestamp,Target Class,Threat Level,Confidence (%),Bounding Box
18:45:36.204,PERSON,ORTA,87,"(3, 275, 843, 714)"
18:45:36.204,PERSON,ORTA,40,"(1123, 199, 1279, 710)"
18:45:36.271,PERSON,ORTA,80,"(1053, 46, 1279, 704)"
18:45:36.271,PERSON,ORTA,62,"(9, 274, 842, 714)"
18:45:36.345,PERSON,ORTA,82,"(1055, 25, 1279, 703)"
18:45:36.345,PERSON,ORTA,61,"(12, 279, 848, 714)"
18:45:36.423,PERSON,ORTA,83,"(1058, 8, 1279, 699)"
18:45:36.423,PERSON,ORTA,65,"(12, 273, 845, 713)"
18:45:36.495,PERSON,ORTA,77,"(1072, 3, 1278, 708)"
18:45:36.495,PERSON,ORTA,56,"(7, 270, 845, 713)"
18:45:36.561,PERSON,ORTA,74,"(1076, 3, 1279, 705)"
18:45:36.561,PERSON,ORTA,54,"(26, 279, 856, 713)"
18:45:36.625,PERSON,ORTA,73,"(1078, 2, 1279, 700)"
18:45:36.625,PERSON,ORTA,63,"(8, 274, 843, 713)"
18:45:36.690,PERSON,ORTA,75,"(1081, 3, 1279, 704)"
18:45:36.690,PERSON,ORTA,53,"(14, 271, 841, 712)"
18:45:36.755,PERSON,ORTA,75,"(1085, 3, 1279, 706)"
18:45:36.755,PERSON,ORTA,58,"(27, 279, 853, 713)"
18:45:36.822,PERSON,ORTA,76,"(1084, 7, 1279, 706)"
18:45:36.822,PERSON,ORTA,68,"(10, 281, 853, 713)"
18:45:36.887,PERSON,ORTA,75,"(1084, 1, 1279, 700)"
18:45:36.887,PERSON,ORTA,62,"(18, 279, 847, 713)"
18:45:36.953,PERSON,ORTA,72,"(1080, 3, 1279, 699)"
18:45:36.953,PERSON,ORTA,62,"(5, 270, 852, 713)"
18:45:37.021,PERSON,ORTA,79,"(1073, 1, 1279, 695)"
18:45:37.021,PERSON,ORTA,72,"(5, 282, 845, 713)"
18:45:37.094,PERSON,ORTA,76,"(2, 285, 850, 712)"
18:45:37.094,PERSON,ORTA,71,"(1044, 12, 1279, 704)"
18:45:37.169,PERSON,ORTA,82,"(2, 287, 842, 713)"
18:45:37.169,PERSON,ORTA,75,"(1036, 41, 1279, 710)"
18:45:37.237,PERSON,ORTA,80,"(1033, 68, 1278, 707)"
18:45:37.237,PERSON,ORTA,72,"(0, 287, 839, 714)"
18:45:37.300,PERSON,ORTA,75,"(1079, 181, 1278, 708)"
18:45:37.300,PERSON,ORTA,74,"(1, 284, 844, 713)"
18:45:37.365,PERSON,ORTA,74,"(0, 286, 831, 713)"
18:45:37.365,PERSON,ORTA,64,"(1094, 190, 1279, 710)"
18:45:37.426,PERSON,ORTA,70,"(7, 288, 912, 716)"
18:45:37.426,PERSON,ORTA,66,"(1109, 178, 1279, 709)"
18:45:37.426,REMOTE,ASAGI,44,"(281, 629, 487, 717)"
18:45:37.492,PERSON,ORTA,80,"(19, 290, 961, 714)"
18:45:37.492,PERSON,ORTA,76,"(1149, 230, 1279, 710)"
18:45:37.557,PERSON,ORTA,80,"(3, 290, 907, 714)"
18:45:37.557,PERSON,ORTA,68,"(1157, 221, 1279, 710)"
18:45:37.621,PERSON,ORTA,78,"(8, 291, 901, 712)"
18:45:37.621,PERSON,ORTA,62,"(1159, 217, 1279, 710)"
18:45:37.686,PERSON,ORTA,82,"(5, 295, 909, 712)"
18:45:37.686,PERSON,ORTA,49,"(1157, 228, 1279, 711)"
18:45:37.750,PERSON,ORTA,77,"(7, 293, 915, 710)"
18:45:37.750,PERSON,ORTA,61,"(1153, 200, 1279, 711)"
18:45:37.816,PERSON,ORTA,82,"(4, 292, 917, 712)"
18:45:37.816,PERSON,ORTA,44,"(1151, 236, 1279, 712)"
18:45:37.886,PERSON,ORTA,75,"(5, 294, 924, 709)"
18:45:37.886,PERSON,ORTA,54,"(1138, 243, 1279, 712)"
18:45:37.954,PERSON,ORTA,81,"(4, 290, 904, 709)"
18:45:37.954,PERSON,ORTA,57,"(1137, 242, 1279, 711)"
18:45:38.019,PERSON,ORTA,82,"(7, 293, 959, 711)"
18:45:38.019,PERSON,ORTA,57,"(1138, 241, 1279, 712)"
18:45:38.088,PERSON,ORTA,79,"(10, 291, 947, 712)"
18:45:38.088,PERSON,ORTA,59,"(1138, 250, 1279, 712)"
18:45:38.088,BIRD,ASAGI,57,"(1138, 251, 1279, 711)"
18:45:38.157,PERSON,ORTA,72,"(4, 292, 932, 712)"
18:45:38.157,PERSON,ORTA,59,"(1139, 254, 1279, 712)"
18:45:38.228,PERSON,ORTA,76,"(4, 292, 912, 711)"
18:45:38.228,PERSON,ORTA,47,"(1140, 252, 1279, 712)"
18:45:38.292,PERSON,ORTA,76,"(16, 290, 866, 712)"
18:45:38.292,PERSON,ORTA,52,"(1106, 198, 1279, 710)"
18:45:38.359,PERSON,ORTA,78,"(129, 292, 850, 714)"
18:45:38.359,PERSON,ORTA,54,"(1084, 200, 1279, 709)"
18:45:38.424,PERSON,ORTA,46,"(275, 290, 978, 715)"
18:45:38.424,CAT,ASAGI,40,"(1039, 205, 1279, 709)"
18:45:38.488,PERSON,ORTA,87,"(862, 36, 1279, 712)"
18:45:38.488,PERSON,ORTA,50,"(404, 291, 986, 715)"
18:45:38.552,PERSON,ORTA,69,"(822, 7, 1279, 712)"
18:45:38.552,PERSON,ORTA,69,"(431, 294, 987, 716)"
18:45:38.615,PERSON,ORTA,69,"(791, 5, 1278, 711)"
18:45:38.615,PERSON,ORTA,55,"(352, 296, 969, 716)"
18:45:38.684,PERSON,ORTA,67,"(671, 3, 1219, 713)"
18:45:38.684,PERSON,ORTA,47,"(394, 296, 899, 711)"
18:45:38.756,PERSON,ORTA,48,"(289, 296, 887, 714)"
18:45:38.756,DOG,ASAGI,47,"(644, 2, 1201, 714)"
18:45:38.826,PERSON,ORTA,65,"(624, 0, 1196, 711)"
18:45:38.826,PERSON,ORTA,45,"(279, 296, 888, 714)"
18:45:38.892,PERSON,ORTA,72,"(430, 296, 907, 714)"
18:45:38.892,PERSON,ORTA,70,"(597, 1, 1165, 708)"
18:45:38.954,PERSON,ORTA,69,"(601, 3, 1158, 708)"
18:45:38.954,PERSON,ORTA,63,"(425, 298, 904, 715)"
18:45:39.018,PERSON,ORTA,74,"(604, 2, 1169, 710)"
18:45:39.018,PERSON,ORTA,49,"(427, 299, 896, 714)"
18:45:39.082,PERSON,ORTA,67,"(572, 1, 1143, 711)"
18:45:39.148,PERSON,ORTA,70,"(533, 0, 1137, 712)"
18:45:39.217,PERSON,ORTA,70,"(459, 0, 1135, 712)"
18:45:39.288,PERSON,ORTA,72,"(455, 3, 1176, 711)"
18:45:39.288,PERSON,ORTA,40,"(448, 310, 854, 714)"
18:45:39.355,PERSON,ORTA,71,"(451, 53, 1237, 713)"
18:45:39.419,PERSON,ORTA,68,"(388, 171, 1250, 713)"
18:45:39.484,PERSON,ORTA,59,"(437, 302, 901, 717)"
18:45:39.550,PERSON,ORTA,60,"(423, 302, 900, 716)"
18:45:39.619,PERSON,ORTA,69,"(439, 303, 896, 717)"
18:45:39.693,PERSON,ORTA,66,"(610, 3, 1099, 711)"
18:45:39.759,PERSON,ORTA,77,"(622, 4, 1121, 713)"
18:45:39.759,PERSON,ORTA,45,"(448, 304, 864, 717)"
18:45:39.832,PERSON,ORTA,74,"(622, 3, 1129, 712)"
18:45:39.832,PERSON,ORTA,40,"(446, 299, 858, 715)"
18:45:39.899,PERSON,ORTA,78,"(626, 2, 1140, 712)"
18:45:39.899,PERSON,ORTA,42,"(442, 305, 884, 714)"
18:45:39.965,PERSON,ORTA,81,"(635, 5, 1137, 712)"
18:45:39.965,PERSON,ORTA,49,"(437, 301, 886, 714)"
18:45:40.034,PERSON,ORTA,64,"(646, 4, 1132, 710)"
18:45:40.034,PERSON,ORTA,51,"(437, 299, 888, 714)"
18:45:40.106,PERSON,ORTA,58,"(688, 26, 1196, 711)"
18:45:40.106,PERSON,ORTA,50,"(424, 300, 857, 715)"
18:45:40.180,PERSON,ORTA,58,"(669, 46, 1141, 711)"
18:45:40.180,PERSON,ORTA,45,"(424, 300, 834, 715)"
18:45:40.249,PERSON,ORTA,73,"(608, 5, 1130, 713)"
18:45:40.321,PERSON,ORTA,78,"(607, 5, 1126, 712)"
18:45:40.321,PERSON,ORTA,42,"(433, 294, 884, 715)"
18:45:40.405,PERSON,ORTA,74,"(604, 7, 1123, 710)"
18:45:40.476,PERSON,ORTA,65,"(641, 17, 1133, 712)"
18:45:40.476,PERSON,ORTA,57,"(400, 301, 866, 715)"
18:45:40.542,PERSON,ORTA,59,"(651, 12, 1110, 712)"
18:45:40.542,PERSON,ORTA,59,"(389, 299, 854, 713)"
18:45:40.608,PERSON,ORTA,59,"(266, 94, 1261, 713)"
18:45:40.685,PERSON,ORTA,59,"(364, 302, 840, 713)"
18:45:40.685,PERSON,ORTA,43,"(691, 45, 1269, 710)"
18:45:40.772,PERSON,ORTA,52,"(373, 300, 856, 714)"
18:45:40.772,PERSON,ORTA,45,"(674, 17, 1131, 711)"
18:45:40.849,PERSON,ORTA,56,"(706, 77, 1192, 712)"
