Timestamp,Target ID,Target Class,Threat Level,Confidence (%),Lock Status,Bounding Box
20:48:11.498,HDF-???,FIGHTER JET,YUKSEK,26,NO,"(519, 354, 639, 432)"
20:48:19.728,HDF-???,COMMERCIAL AIRCRAFT,YUKSEK,31,NO,"(585, 285, 639, 331)"
20:48:20.784,HDF-???,COMMERCIAL AIRCRAFT,YUKSEK,28,NO,"(587, 286, 639, 333)"
20:48:21.247,HDF-???,COMMERCIAL AIRCRAFT,YUKSEK,26,NO,"(583, 286, 639, 333)"
20:48:22.011,HDF-???,COMMERCIAL AIRCRAFT,YUKSEK,27,NO,"(580, 291, 639, 331)"
20:48:22.320,HDF-???,COMMERCIAL AIRCRAFT,YUKSEK,28,NO,"(586, 284, 639, 331)"
20:48:23.913,HDF-???,COMMERCIAL AIRCRAFT,YUKSEK,35,NO,"(584, 289, 639, 331)"
20:48:24.651,HDF-???,COMMERCIAL AIRCRAFT,YUKSEK,35,NO,"(586, 286, 639, 332)"
20:48:25.475,HDF-???,COMMERCIAL AIRCRAFT,YUKSEK,25,NO,"(580, 284, 639, 339)"
20:48:27.172,HDF-???,COMMERCIAL AIRCRAFT,YUKSEK,26,NO,"(583, 289, 639, 332)"
20:48:27.317,HDF-???,COMMERCIAL AIRCRAFT,YUKSEK,29,NO,"(585, 288, 639, 332)"
20:48:28.356,HDF-???,MISSILE,YUKSEK,55,YES,"(401, 166, 427, 221)"
20:48:28.507,HDF-???,MISSILE,YUKSEK,67,YES,"(397, 163, 424, 219)"
20:48:28.674,HDF-???,MISSILE,YUKSEK,51,YES,"(397, 153, 427, 215)"
20:48:34.530,HDF-???,TANK,YUKSEK,31,NO,"(573, 0, 640, 361)"
20:48:35.243,HDF-???,COMMERCIAL AIRCRAFT,YUKSEK,27,NO,"(582, 289, 639, 330)"
20:48:35.557,HDF-???,COMMERCIAL AIRCRAFT,YUKSEK,27,NO,"(583, 280, 639, 339)"
20:48:37.181,HDF-???,COMMERCIAL AIRCRAFT,YUKSEK,27,NO,"(575, 288, 639, 333)"
20:48:39.641,HDF-???,COMMERCIAL AIRCRAFT,YUKSEK,26,NO,"(579, 292, 639, 331)"
20:48:39.771,HDF-???,COMMERCIAL AIRCRAFT,YUKSEK,29,NO,"(581, 290, 639, 332)"
20:48:40.472,HDF-???,COMMERCIAL AIRCRAFT,YUKSEK,31,NO,"(577, 287, 639, 333)"
