Timestamp,Target ID,Target Class,Threat Level,Confidence (%),Lock Status,Bounding Box
20:35:17.737,HDF-???,DRONE,YUKSEK,78,YES,"(448, 156, 590, 247)"
20:35:17.853,HDF-???,DRONE,YUKSEK,76,YES,"(448, 158, 591, 247)"
20:35:18.067,HDF-???,DRONE,YUKSEK,55,YES,"(402, 167, 541, 253)"
20:35:18.180,HDF-???,DRONE,YUKSEK,72,YES,"(378, 173, 522, 259)"
20:35:18.291,HDF-???,DRONE,YUKSEK,86,YES,"(372, 169, 513, 264)"
20:35:18.400,HDF-???,DRONE,YUKSEK,89,YES,"(390, 171, 530, 266)"
20:35:18.508,HDF-002,DRONE,YUKSEK,87,YES,"(398, 172, 539, 266)"
20:35:18.625,HDF-002,DRONE,YUKSEK,86,YES,"(403, 169, 544, 262)"
20:35:18.728,HDF-002,DRONE,YUKSEK,85,YES,"(410, 170, 550, 262)"
20:35:18.839,HDF-002,DRONE,YUKSEK,87,YES,"(410, 169, 550, 265)"
20:35:18.950,HDF-002,DRONE,YUKSEK,89,YES,"(406, 171, 548, 265)"
20:35:19.061,HDF-002,DRONE,YUKSEK,86,YES,"(409, 168, 550, 259)"
20:35:19.178,HDF-002,DRONE,YUKSEK,89,YES,"(409, 167, 553, 261)"
20:35:19.285,HDF-002,DRONE,YUKSEK,87,YES,"(414, 170, 556, 266)"
20:35:19.394,HDF-002,DRONE,YUKSEK,88,YES,"(414, 170, 559, 265)"
20:35:19.506,HDF-002,DRONE,YUKSEK,86,YES,"(421, 168, 560, 259)"
20:35:19.618,HDF-002,DRONE,YUKSEK,86,YES,"(420, 171, 559, 265)"
20:35:19.740,HDF-002,DRONE,YUKSEK,89,YES,"(423, 177, 562, 267)"
20:35:19.847,HDF-002,DRONE,YUKSEK,88,YES,"(425, 176, 562, 267)"
20:35:19.954,HDF-002,DRONE,YUKSEK,84,YES,"(435, 172, 574, 261)"
20:35:20.072,HDF-002,DRONE,YUKSEK,87,YES,"(444, 166, 578, 256)"
20:35:20.183,HDF-002,DRONE,YUKSEK,89,YES,"(440, 166, 575, 257)"
20:35:20.291,HDF-002,DRONE,YUKSEK,73,YES,"(437, 163, 575, 256)"
20:35:20.512,HDF-002,DRONE,YUKSEK,43,YES,"(445, 157, 574, 251)"
