Timestamp,Target Class,Threat Level,Confidence (%),Lock Status,Bounding Box
19:12:48.563,PERSON,ORTA,75,NO,"(497, 201, 836, 712)"
19:12:48.622,PERSON,ORTA,61,NO,"(495, 202, 838, 712)"
19:12:48.682,PERSON,ORTA,76,NO,"(495, 203, 836, 711)"
19:12:48.742,PERSON,ORTA,76,NO,"(495, 203, 836, 711)"
19:12:48.801,PERSON,ORTA,68,NO,"(497, 203, 834, 711)"
19:12:48.856,PERSON,ORTA,76,NO,"(494, 201, 835, 711)"
19:12:48.915,PERSON,ORTA,76,NO,"(494, 201, 835, 711)"
19:12:48.980,PERSON,ORTA,80,NO,"(497, 199, 837, 710)"
19:12:49.036,PERSON,ORTA,72,NO,"(493, 202, 835, 712)"
19:12:49.099,PERSON,ORTA,72,NO,"(493, 202, 835, 712)"
19:12:49.161,PERSON,ORTA,76,NO,"(497, 200, 835, 710)"
19:12:49.221,PERSON,ORTA,82,NO,"(498, 200, 836, 710)"
19:12:49.284,PERSON,ORTA,72,NO,"(493, 201, 835, 712)"
19:12:49.349,PERSON,ORTA,78,NO,"(493, 199, 832, 710)"
19:12:49.415,PERSON,ORTA,79,NO,"(494, 200, 835, 712)"
19:12:49.478,PERSON,ORTA,68,NO,"(494, 199, 836, 713)"
19:12:49.538,PERSON,ORTA,56,NO,"(494, 200, 835, 713)"
19:12:49.602,PERSON,ORTA,54,NO,"(493, 201, 833, 712)"
19:12:49.664,PERSON,ORTA,82,NO,"(493, 199, 832, 712)"
19:12:49.734,PERSON,ORTA,62,NO,"(495, 200, 833, 708)"
19:12:49.798,PERSON,ORTA,54,NO,"(490, 201, 837, 713)"
19:12:49.859,PERSON,ORTA,78,NO,"(495, 204, 834, 711)"
19:12:49.916,PERSON,ORTA,67,NO,"(495, 204, 835, 711)"
19:12:49.973,PERSON,ORTA,68,NO,"(489, 206, 834, 709)"
19:12:50.029,PERSON,ORTA,68,NO,"(489, 206, 834, 709)"
19:12:50.090,PERSON,ORTA,82,NO,"(496, 207, 832, 709)"
19:12:50.153,PERSON,ORTA,80,NO,"(495, 207, 832, 710)"
19:12:50.218,PERSON,ORTA,80,NO,"(495, 207, 832, 710)"
19:12:50.274,PERSON,ORTA,80,NO,"(495, 208, 831, 707)"
19:12:50.339,PERSON,ORTA,81,NO,"(493, 208, 831, 709)"
19:12:50.407,PERSON,ORTA,84,NO,"(493, 208, 829, 711)"
19:12:50.471,PERSON,ORTA,77,NO,"(493, 207, 830, 709)"
19:12:50.532,PERSON,ORTA,76,NO,"(494, 206, 832, 710)"
19:12:50.588,PERSON,ORTA,80,NO,"(491, 207, 830, 709)"
19:12:50.645,PERSON,ORTA,77,NO,"(492, 205, 832, 710)"
19:12:50.708,PERSON,ORTA,73,NO,"(491, 206, 829, 707)"
19:12:50.774,PERSON,ORTA,82,NO,"(494, 205, 831, 710)"
19:12:50.835,PERSON,ORTA,83,NO,"(494, 203, 830, 708)"
19:12:50.891,PERSON,ORTA,77,NO,"(490, 206, 833, 711)"
19:12:50.944,PERSON,ORTA,80,NO,"(495, 204, 832, 709)"
19:12:51.002,PERSON,ORTA,74,NO,"(493, 204, 832, 707)"
19:12:51.061,PERSON,ORTA,79,NO,"(495, 203, 834, 711)"
19:12:51.125,PERSON,ORTA,79,NO,"(495, 203, 834, 711)"
19:12:51.195,PERSON,ORTA,78,NO,"(494, 202, 834, 711)"
19:12:51.258,PERSON,ORTA,74,NO,"(491, 203, 834, 712)"
19:12:51.313,PERSON,ORTA,74,NO,"(491, 203, 834, 712)"
19:12:51.370,PERSON,ORTA,81,NO,"(490, 202, 834, 711)"
19:12:51.435,PERSON,ORTA,74,NO,"(494, 203, 835, 711)"
19:12:51.498,PERSON,ORTA,83,NO,"(494, 202, 835, 711)"
19:12:51.568,PERSON,ORTA,71,NO,"(494, 201, 835, 711)"
19:12:51.633,PERSON,ORTA,71,NO,"(488, 203, 837, 712)"
19:12:51.695,PERSON,ORTA,81,NO,"(492, 203, 836, 711)"
19:12:51.754,PERSON,ORTA,70,NO,"(494, 202, 837, 712)"
19:12:51.815,PERSON,ORTA,66,NO,"(492, 202, 836, 710)"
19:12:51.874,PERSON,ORTA,82,NO,"(493, 200, 835, 711)"
19:12:51.938,PERSON,ORTA,75,NO,"(469, 201, 837, 712)"
19:12:51.994,PERSON,ORTA,82,NO,"(495, 201, 837, 711)"
19:12:52.050,PERSON,ORTA,74,NO,"(491, 202, 836, 712)"
19:12:52.111,PERSON,ORTA,75,NO,"(481, 200, 836, 712)"
19:12:52.175,PERSON,ORTA,66,NO,"(487, 201, 836, 711)"
19:12:52.239,PERSON,ORTA,66,NO,"(487, 201, 836, 711)"
19:12:52.300,PERSON,ORTA,66,NO,"(495, 200, 835, 709)"
19:12:52.360,PERSON,ORTA,79,NO,"(496, 200, 836, 712)"
19:12:52.419,PERSON,ORTA,79,NO,"(496, 200, 836, 712)"
19:12:52.481,PERSON,ORTA,68,NO,"(497, 202, 837, 712)"
19:12:52.542,PERSON,ORTA,77,NO,"(495, 200, 834, 711)"
19:12:52.599,PERSON,ORTA,82,NO,"(496, 199, 835, 710)"
19:12:52.654,PERSON,ORTA,80,NO,"(493, 201, 837, 709)"
19:12:52.712,PERSON,ORTA,72,NO,"(493, 202, 838, 711)"
19:12:52.770,PERSON,ORTA,74,NO,"(481, 200, 835, 711)"
19:12:52.830,PERSON,ORTA,81,NO,"(496, 199, 835, 712)"
19:12:52.891,PERSON,ORTA,70,NO,"(495, 199, 836, 712)"
19:12:52.954,PERSON,ORTA,80,NO,"(494, 198, 837, 711)"
19:12:53.008,PERSON,ORTA,80,NO,"(496, 200, 837, 711)"
19:12:53.072,PERSON,ORTA,80,NO,"(496, 201, 836, 711)"
19:12:53.137,PERSON,ORTA,80,NO,"(496, 201, 836, 711)"
19:12:53.199,PERSON,ORTA,84,NO,"(495, 201, 835, 711)"
19:12:53.256,PERSON,ORTA,81,NO,"(494, 199, 836, 711)"
19:12:53.312,PERSON,ORTA,81,NO,"(494, 199, 836, 711)"
19:12:53.369,PERSON,ORTA,71,NO,"(494, 200, 836, 712)"
19:12:53.434,PERSON,ORTA,74,NO,"(486, 201, 836, 712)"
19:12:53.497,PERSON,ORTA,73,NO,"(466, 202, 836, 712)"
19:12:53.557,PERSON,ORTA,69,NO,"(489, 200, 838, 712)"
19:12:53.611,PERSON,ORTA,80,NO,"(495, 198, 836, 711)"
19:12:53.670,PERSON,ORTA,70,NO,"(481, 199, 839, 713)"
19:12:53.728,PERSON,ORTA,67,NO,"(495, 199, 837, 710)"
19:12:53.784,PERSON,ORTA,76,NO,"(491, 197, 837, 712)"
19:12:53.847,PERSON,ORTA,73,NO,"(486, 200, 837, 711)"
19:12:53.913,PERSON,ORTA,68,NO,"(494, 198, 835, 709)"
19:12:53.979,PERSON,ORTA,77,NO,"(495, 200, 837, 711)"
19:12:54.032,PERSON,ORTA,77,NO,"(495, 200, 837, 711)"
19:12:54.093,PERSON,ORTA,83,NO,"(497, 199, 837, 712)"
19:12:54.153,PERSON,ORTA,68,NO,"(488, 198, 839, 712)"
19:12:54.211,PERSON,ORTA,68,NO,"(488, 198, 839, 712)"
19:12:54.272,PERSON,ORTA,68,NO,"(479, 200, 839, 713)"
19:12:54.332,PERSON,ORTA,54,NO,"(492, 199, 838, 710)"
19:12:54.396,PERSON,ORTA,78,NO,"(494, 200, 836, 711)"
